VariableDesc,QNum,VarName
 q2_7_7_13 Where did …. seek care during this sickness? - Abroad                                                                     ,q2_7_7_13,q2_7_7_13
 q2_7_7_14 Where did …. seek care during this sickness? - Illegal medical practitioner                                               ,q2_7_7_14,q2_7_7_14
 q2_7_7_15 Where did …. seek care during this sickness? - Other                                                                      ,q2_7_7_15,q2_7_7_15
 q2_7_7_16 Where did …. seek care during this sickness? - Do not remember                                                            ,q2_7_7_16,q2_7_7_16
 q2_7_7_17 Where did …. seek care during this sickness? - Do not know                                                                ,q2_7_7_17,q2_7_7_17
 q2_7_other7 other specify                                                                                                           ,q2_7_other7,q2_7_other7
 q2_7_8_1 Where did …. seek care during this sickness? - No care                                                                     ,q2_7_8_1,q2_7_8_1
 q2_7_8_2 Where did …. seek care during this sickness? - Home-made medicine                                                          ,q2_7_8_2,q2_7_8_2
 q2_7_8_3 Where did …. seek care during this sickness? - Village modern medical practitioner                                         ,q2_7_8_3,q2_7_8_3
 q2_7_8_4 Where did …. seek care during this sickness? - Village health volunteer                                                    ,q2_7_8_4,q2_7_8_4
 q2_7_8_5 Where did …. seek care during this sickness? - Traditional healer                                                          ,q2_7_8_5,q2_7_8_5
 q2_7_8_6 Where did …. seek care during this sickness? - Health centre                                                               ,q2_7_8_6,q2_7_8_6
 q2_7_8_7 Where did …. seek care during this sickness? - District hospital                                                           ,q2_7_8_7,q2_7_8_7
 q2_7_8_8 Where did …. seek care during this sickness? - Provincial hospital/Regional                                                ,q2_7_8_8,q2_7_8_8
 q2_7_8_9 Where did …. seek care during this sickness?                                                                               ,q2_7_8_9,q2_7_8_9
 q2_7_8_10 Where did …. seek care during this sickness? - National hospital                                                          ,q2_7_8_10,q2_7_8_10
 q2_7_8_11 Where did …. seek care during this sickness? - Private pharmacy                                                           ,q2_7_8_11,q2_7_8_11
 q2_7_8_12 Where did …. seek care during this sickness? - Private clinic                                                             ,q2_7_8_12,q2_7_8_12
 q2_7_8_13 Where did …. seek care during this sickness? - Abroad                                                                     ,q2_7_8_13,q2_7_8_13
 q2_7_8_14 Where did …. seek care during this sickness? - Illegal medical practitioner                                               ,q2_7_8_14,q2_7_8_14
 q2_7_8_15 Where did …. seek care during this sickness? - Other                                                                      ,q2_7_8_15,q2_7_8_15
 q2_7_8_16 Where did …. seek care during this sickness? - Do not remember                                                            ,q2_7_8_16,q2_7_8_16
 q2_7_8_17 Where did …. seek care during this sickness? - Do not know                                                                ,q2_7_8_17,q2_7_8_17
 q2_7_other8 other specify                                                                                                           ,q2_7_other8,q2_7_other8
 q2_7_9_1 Where did …. seek care during this sickness? - No care                                                                     ,q2_7_9_1,q2_7_9_1
 q2_7_9_2 Where did …. seek care during this sickness? - Home-made medicine                                                          ,q2_7_9_2,q2_7_9_2
 q2_7_9_3 Where did …. seek care during this sickness? - Village modern medical practitioner                                         ,q2_7_9_3,q2_7_9_3
 q2_7_9_4 Where did …. seek care during this sickness? - Village health volunteer                                                    ,q2_7_9_4,q2_7_9_4
 q2_7_9_5 Where did …. seek care during this sickness? - Traditional healer                                                          ,q2_7_9_5,q2_7_9_5
 q2_7_9_6 Where did …. seek care during this sickness? - Health centre                                                               ,q2_7_9_6,q2_7_9_6
 q2_7_9_7 Where did …. seek care during this sickness? - District hospital                                                           ,q2_7_9_7,q2_7_9_7
 q2_7_9_8 Where did …. seek care during this sickness? - Provincial hospital/Regional                                                ,q2_7_9_8,q2_7_9_8
 q2_7_9_9 Where did …. seek care during this sickness?                                                                               ,q2_7_9_9,q2_7_9_9
 q2_7_9_10 Where did …. seek care during this sickness? - National hospital                                                          ,q2_7_9_10,q2_7_9_10
 q2_7_9_11 Where did …. seek care during this sickness? - Private pharmacy                                                           ,q2_7_9_11,q2_7_9_11
 q2_7_9_12 Where did …. seek care during this sickness? - Private clinic                                                             ,q2_7_9_12,q2_7_9_12
 q2_7_9_13 Where did …. seek care during this sickness? - Abroad                                                                     ,q2_7_9_13,q2_7_9_13
 q2_7_9_14 Where did …. seek care during this sickness? - Illegal medical practitioner                                               ,q2_7_9_14,q2_7_9_14
 q2_7_9_15 Where did …. seek care during this sickness? - Other                                                                      ,q2_7_9_15,q2_7_9_15
 q2_7_9_16 Where did …. seek care during this sickness? - Do not remember                                                            ,q2_7_9_16,q2_7_9_16
 q2_7_9_17 Where did …. seek care during this sickness? - Do not know                                                                ,q2_7_9_17,q2_7_9_17
 q2_7_other9 other specify                                                                                                           ,q2_7_other9,q2_7_other9
 q2_7_10_1 Where did …. seek care during this sickness? - No care                                                                    ,q2_7_10_1,q2_7_10_1
 q2_7_10_2 Where did …. seek care during this sickness? - Home-made medicine                                                         ,q2_7_10_2,q2_7_10_2
 q2_7_10_3 Where did …. seek care during this sickness? - Village modern medical practitioner                                        ,q2_7_10_3,q2_7_10_3
 q2_7_10_4 Where did …. seek care during this sickness? - Village health volunteer                                                   ,q2_7_10_4,q2_7_10_4
 q2_7_10_5 Where did …. seek care during this sickness? - Traditional healer                                                         ,q2_7_10_5,q2_7_10_5
 q2_7_10_6 Where did …. seek care during this sickness? - Health centre                                                              ,q2_7_10_6,q2_7_10_6
 q2_7_10_7 Where did …. seek care during this sickness? - District hospital                                                          ,q2_7_10_7,q2_7_10_7
 q2_7_10_8 Where did …. seek care during this sickness? - Provincial hospital/Regional                                               ,q2_7_10_8,q2_7_10_8
 q2_7_10_9 Where did …. seek care during this sickness?                                                                              ,q2_7_10_9,q2_7_10_9
 q2_7_10_10 Where did …. seek care during this sickness? - National hospital                                                         ,q2_7_10_10,q2_7_10_10
 q2_7_10_11 Where did …. seek care during this sickness? - Private pharmacy                                                          ,q2_7_10_11,q2_7_10_11
 q2_7_10_12 Where did …. seek care during this sickness? - Private clinic                                                            ,q2_7_10_12,q2_7_10_12
 q2_7_10_13 Where did …. seek care during this sickness? - Abroad                                                                    ,q2_7_10_13,q2_7_10_13
 q2_7_10_14 Where did …. seek care during this sickness? - Illegal medical practitioner                                              ,q2_7_10_14,q2_7_10_14
 q2_7_10_15 Where did …. seek care during this sickness? - Other                                                                     ,q2_7_10_15,q2_7_10_15
 q2_7_10_16 Where did …. seek care during this sickness? - Do not remember                                                           ,q2_7_10_16,q2_7_10_16
 q2_7_10_17 Where did …. seek care during this sickness? - Do not know                                                               ,q2_7_10_17,q2_7_10_17
 q2_7_other10 other specify                                                                                                          ,q2_7_other10,q2_7_other10
 q2_7_11_1 Where did …. seek care during this sickness? - No care                                                                    ,q2_7_11_1,q2_7_11_1
 q2_7_11_2 Where did …. seek care during this sickness? - Home-made medicine                                                         ,q2_7_11_2,q2_7_11_2
 q2_7_11_3 Where did …. seek care during this sickness? - Village modern medical practitioner                                        ,q2_7_11_3,q2_7_11_3
 q2_7_11_4 Where did …. seek care during this sickness? - Village health volunteer                                                   ,q2_7_11_4,q2_7_11_4
 q2_7_11_5 Where did …. seek care during this sickness? - Traditional healer                                                         ,q2_7_11_5,q2_7_11_5
 q2_7_11_6 Where did …. seek care during this sickness? - Health centre                                                              ,q2_7_11_6,q2_7_11_6
 q2_7_11_7 Where did …. seek care during this sickness? - District hospital                                                          ,q2_7_11_7,q2_7_11_7
 q2_7_11_8 Where did …. seek care during this sickness? - Provincial hospital/Regional                                               ,q2_7_11_8,q2_7_11_8
 q2_7_11_9 Where did …. seek care during this sickness?                                                                              ,q2_7_11_9,q2_7_11_9
 q2_7_11_10 Where did …. seek care during this sickness? - National hospital                                                         ,q2_7_11_10,q2_7_11_10
 q2_7_11_11 Where did …. seek care during this sickness? - Private pharmacy                                                          ,q2_7_11_11,q2_7_11_11
 q2_7_11_12 Where did …. seek care during this sickness? - Private clinic                                                            ,q2_7_11_12,q2_7_11_12
 q2_7_11_13 Where did …. seek care during this sickness? - Abroad                                                                    ,q2_7_11_13,q2_7_11_13
 q2_7_11_14 Where did …. seek care during this sickness? - Illegal medical practitioner                                              ,q2_7_11_14,q2_7_11_14
 q2_7_11_15 Where did …. seek care during this sickness? - Other                                                                     ,q2_7_11_15,q2_7_11_15
 q2_7_11_16 Where did …. seek care during this sickness? - Do not remember                                                           ,q2_7_11_16,q2_7_11_16
 q2_7_11_17 Where did …. seek care during this sickness? - Do not know                                                               ,q2_7_11_17,q2_7_11_17
 q2_7_other11 other specify                                                                                                          ,q2_7_other11,q2_7_other11
 q2_7_12_1 Where did …. seek care during this sickness? - No care                                                                    ,q2_7_12_1,q2_7_12_1
 q2_7_12_2 Where did …. seek care during this sickness? - Home-made medicine                                                         ,q2_7_12_2,q2_7_12_2
 q2_7_12_3 Where did …. seek care during this sickness? - Village modern medical practitioner                                        ,q2_7_12_3,q2_7_12_3
 q2_7_12_4 Where did …. seek care during this sickness? - Village health volunteer                                                   ,q2_7_12_4,q2_7_12_4
 q2_7_12_5 Where did …. seek care during this sickness? - Traditional healer                                                         ,q2_7_12_5,q2_7_12_5
 q2_7_12_6 Where did …. seek care during this sickness? - Health centre                                                              ,q2_7_12_6,q2_7_12_6
 q2_7_12_7 Where did …. seek care during this sickness? - District hospital                                                          ,q2_7_12_7,q2_7_12_7
 q2_7_12_8 Where did …. seek care during this sickness? - Provincial hospital/Regional                                               ,q2_7_12_8,q2_7_12_8
 q2_7_12_9 Where did …. seek care during this sickness?                                                                              ,q2_7_12_9,q2_7_12_9
 q2_7_12_10 Where did …. seek care during this sickness? - National hospital                                                         ,q2_7_12_10,q2_7_12_10
 q2_7_12_11 Where did …. seek care during this sickness? - Private pharmacy                                                          ,q2_7_12_11,q2_7_12_11
 q2_7_12_12 Where did …. seek care during this sickness? - Private clinic                                                            ,q2_7_12_12,q2_7_12_12
 q2_7_12_13 Where did …. seek care during this sickness? - Abroad                                                                    ,q2_7_12_13,q2_7_12_13
 q2_7_12_14 Where did …. seek care during this sickness? - Illegal medical practitioner                                              ,q2_7_12_14,q2_7_12_14
 q2_7_12_15 Where did …. seek care during this sickness? - Other                                                                     ,q2_7_12_15,q2_7_12_15
 q2_7_12_16 Where did …. seek care during this sickness? - Do not remember                                                           ,q2_7_12_16,q2_7_12_16
 q2_7_12_17 Where did …. seek care during this sickness? - Do not know                                                               ,q2_7_12_17,q2_7_12_17
 q2_7_other12 other specify                                                                                                          ,q2_7_other12,q2_7_other12
 q2_7_13_1 Where did …. seek care during this sickness? - No care                                                                    ,q2_7_13_1,q2_7_13_1
 q2_7_13_2 Where did …. seek care during this sickness? - Home-made medicine                                                         ,q2_7_13_2,q2_7_13_2
 q2_7_13_3 Where did …. seek care during this sickness? - Village modern medical practitioner                                        ,q2_7_13_3,q2_7_13_3
 q2_7_13_4 Where did …. seek care during this sickness? - Village health volunteer                                                   ,q2_7_13_4,q2_7_13_4
 q2_7_13_5 Where did …. seek care during this sickness? - Traditional healer                                                         ,q2_7_13_5,q2_7_13_5
 q2_7_13_6 Where did …. seek care during this sickness? - Health centre                                                              ,q2_7_13_6,q2_7_13_6
 q2_7_13_7 Where did …. seek care during this sickness? - District hospital                                                          ,q2_7_13_7,q2_7_13_7
 q2_7_13_8 Where did …. seek care during this sickness? - Provincial hospital/Regional                                               ,q2_7_13_8,q2_7_13_8
 q2_7_13_9 Where did …. seek care during this sickness?                                                                              ,q2_7_13_9,q2_7_13_9
 q2_7_13_10 Where did …. seek care during this sickness? - National hospital                                                         ,q2_7_13_10,q2_7_13_10
 q2_7_13_11 Where did …. seek care during this sickness? - Private pharmacy                                                          ,q2_7_13_11,q2_7_13_11
 q2_7_13_12 Where did …. seek care during this sickness? - Private clinic                                                            ,q2_7_13_12,q2_7_13_12
 q2_7_13_13 Where did …. seek care during this sickness? - Abroad                                                                    ,q2_7_13_13,q2_7_13_13
 q2_7_13_14 Where did …. seek care during this sickness? - Illegal medical practitioner                                              ,q2_7_13_14,q2_7_13_14
 q2_7_13_15 Where did …. seek care during this sickness? - Other                                                                     ,q2_7_13_15,q2_7_13_15
 q2_7_13_16 Where did …. seek care during this sickness? - Do not remember                                                           ,q2_7_13_16,q2_7_13_16
 q2_7_13_17 Where did …. seek care during this sickness? - Do not know                                                               ,q2_7_13_17,q2_7_13_17
 q2_7_other13 other specify                                                                                                          ,q2_7_other13,q2_7_other13
 q2_7_14_1 Where did …. seek care during this sickness? - No care                                                                    ,q2_7_14_1,q2_7_14_1
 q2_7_14_2 Where did …. seek care during this sickness? - Home-made medicine                                                         ,q2_7_14_2,q2_7_14_2
 q2_7_14_3 Where did …. seek care during this sickness? - Village modern medical practitioner                                        ,q2_7_14_3,q2_7_14_3
 q2_7_14_4 Where did …. seek care during this sickness? - Village health volunteer                                                   ,q2_7_14_4,q2_7_14_4
 q2_7_14_5 Where did …. seek care during this sickness? - Traditional healer                                                         ,q2_7_14_5,q2_7_14_5
 q2_7_14_6 Where did …. seek care during this sickness? - Health centre                                                              ,q2_7_14_6,q2_7_14_6
 q2_7_14_7 Where did …. seek care during this sickness? - District hospital                                                          ,q2_7_14_7,q2_7_14_7
 q2_7_14_8 Where did …. seek care during this sickness? - Provincial hospital/Regional                                               ,q2_7_14_8,q2_7_14_8
 q2_7_14_9 Where did …. seek care during this sickness?                                                                              ,q2_7_14_9,q2_7_14_9
 q2_7_14_10 Where did …. seek care during this sickness? - National hospital                                                         ,q2_7_14_10,q2_7_14_10
 q2_7_14_11 Where did …. seek care during this sickness? - Private pharmacy                                                          ,q2_7_14_11,q2_7_14_11
 q2_7_14_12 Where did …. seek care during this sickness? - Private clinic                                                            ,q2_7_14_12,q2_7_14_12
 q2_7_14_13 Where did …. seek care during this sickness? - Abroad                                                                    ,q2_7_14_13,q2_7_14_13
 q2_7_14_14 Where did …. seek care during this sickness? - Illegal medical practitioner                                              ,q2_7_14_14,q2_7_14_14
 q2_7_14_15 Where did …. seek care during this sickness? - Other                                                                     ,q2_7_14_15,q2_7_14_15
 q2_7_14_16 Where did …. seek care during this sickness? - Do not remember                                                           ,q2_7_14_16,q2_7_14_16
 q2_7_14_17 Where did …. seek care during this sickness? - Do not know                                                               ,q2_7_14_17,q2_7_14_17
 q2_7_other14 other specify                                                                                                          ,q2_7_other14,q2_7_other14
 q2_7_15_1 Where did …. seek care during this sickness? - No care                                                                    ,q2_7_15_1,q2_7_15_1
 q2_7_15_2 Where did …. seek care during this sickness? - Home-made medicine                                                         ,q2_7_15_2,q2_7_15_2
 q2_7_15_3 Where did …. seek care during this sickness? - Village modern medical practitioner                                        ,q2_7_15_3,q2_7_15_3
 q2_7_15_4 Where did …. seek care during this sickness? - Village health volunteer                                                   ,q2_7_15_4,q2_7_15_4
 q2_7_15_5 Where did …. seek care during this sickness? - Traditional healer                                                         ,q2_7_15_5,q2_7_15_5
 q2_7_15_6 Where did …. seek care during this sickness? - Health centre                                                              ,q2_7_15_6,q2_7_15_6
 q2_7_15_7 Where did …. seek care during this sickness? - District hospital                                                          ,q2_7_15_7,q2_7_15_7
 q2_7_15_8 Where did …. seek care during this sickness? - Provincial hospital/Regional                                               ,q2_7_15_8,q2_7_15_8
 q2_7_15_9 Where did …. seek care during this sickness?                                                                              ,q2_7_15_9,q2_7_15_9
 q2_7_15_10 Where did …. seek care during this sickness? - National hospital                                                         ,q2_7_15_10,q2_7_15_10
 q2_7_15_11 Where did …. seek care during this sickness? - Private pharmacy                                                          ,q2_7_15_11,q2_7_15_11
 q2_7_15_12 Where did …. seek care during this sickness? - Private clinic                                                            ,q2_7_15_12,q2_7_15_12
 q2_7_15_13 Where did …. seek care during this sickness? - Abroad                                                                    ,q2_7_15_13,q2_7_15_13
 q2_7_15_14 Where did …. seek care during this sickness? - Illegal medical practitioner                                              ,q2_7_15_14,q2_7_15_14
 q2_7_15_15 Where did …. seek care during this sickness? - Other                                                                     ,q2_7_15_15,q2_7_15_15
 q2_7_15_16 Where did …. seek care during this sickness? - Do not remember                                                           ,q2_7_15_16,q2_7_15_16
 q2_7_15_17 Where did …. seek care during this sickness? - Do not know                                                               ,q2_7_15_17,q2_7_15_17
 q2_7_other15 other specify                                                                                                          ,q2_7_other15,q2_7_other15
 q2_7_16_1 Where did …. seek care during this sickness? - No care                                                                    ,q2_7_16_1,q2_7_16_1
 q2_7_16_2 Where did …. seek care during this sickness? - Home-made medicine                                                         ,q2_7_16_2,q2_7_16_2
 q2_7_16_3 Where did …. seek care during this sickness? - Village modern medical practitioner                                        ,q2_7_16_3,q2_7_16_3
 q2_7_16_4 Where did …. seek care during this sickness? - Village health volunteer                                                   ,q2_7_16_4,q2_7_16_4
 q2_7_16_5 Where did …. seek care during this sickness? - Traditional healer                                                         ,q2_7_16_5,q2_7_16_5
 q2_7_16_6 Where did …. seek care during this sickness? - Health centre                                                              ,q2_7_16_6,q2_7_16_6
 q2_7_16_7 Where did …. seek care during this sickness? - District hospital                                                          ,q2_7_16_7,q2_7_16_7
 q2_7_16_8 Where did …. seek care during this sickness? - Provincial hospital/Regional                                               ,q2_7_16_8,q2_7_16_8
 q2_7_16_9 Where did …. seek care during this sickness?                                                                              ,q2_7_16_9,q2_7_16_9
 q2_7_16_10 Where did …. seek care during this sickness? - National hospital                                                         ,q2_7_16_10,q2_7_16_10
 q2_7_16_11 Where did …. seek care during this sickness? - Private pharmacy                                                          ,q2_7_16_11,q2_7_16_11
 q2_7_16_12 Where did …. seek care during this sickness? - Private clinic                                                            ,q2_7_16_12,q2_7_16_12
 q2_7_16_13 Where did …. seek care during this sickness? - Abroad                                                                    ,q2_7_16_13,q2_7_16_13
 q2_7_16_14 Where did …. seek care during this sickness? - Illegal medical practitioner                                              ,q2_7_16_14,q2_7_16_14
 q2_7_16_15 Where did …. seek care during this sickness? - Other                                                                     ,q2_7_16_15,q2_7_16_15
 q2_7_16_16 Where did …. seek care during this sickness? - Do not remember                                                           ,q2_7_16_16,q2_7_16_16
 q2_7_16_17 Where did …. seek care during this sickness? - Do not know                                                               ,q2_7_16_17,q2_7_16_17
 q2_7_other16 other specify                                                                                                          ,q2_7_other16,q2_7_other16
 q2_7_17_1 Where did …. seek care during this sickness? - No care                                                                    ,q2_7_17_1,q2_7_17_1
 q2_7_17_2 Where did …. seek care during this sickness? - Home-made medicine                                                         ,q2_7_17_2,q2_7_17_2
 q2_7_17_3 Where did …. seek care during this sickness? - Village modern medical practitioner                                        ,q2_7_17_3,q2_7_17_3
 q2_7_17_4 Where did …. seek care during this sickness? - Village health volunteer                                                   ,q2_7_17_4,q2_7_17_4
 q2_7_17_5 Where did …. seek care during this sickness? - Traditional healer                                                         ,q2_7_17_5,q2_7_17_5
 q2_7_17_6 Where did …. seek care during this sickness? - Health centre                                                              ,q2_7_17_6,q2_7_17_6
 q2_7_17_7 Where did …. seek care during this sickness? - District hospital                                                          ,q2_7_17_7,q2_7_17_7
 q2_7_17_8 Where did …. seek care during this sickness? - Provincial hospital/Regional                                               ,q2_7_17_8,q2_7_17_8
 q2_7_17_9 Where did …. seek care during this sickness?                                                                              ,q2_7_17_9,q2_7_17_9
 q2_7_17_10 Where did …. seek care during this sickness? - National hospital                                                         ,q2_7_17_10,q2_7_17_10
 q2_7_17_11 Where did …. seek care during this sickness? - Private pharmacy                                                          ,q2_7_17_11,q2_7_17_11
 q2_7_17_12 Where did …. seek care during this sickness? - Private clinic                                                            ,q2_7_17_12,q2_7_17_12
 q2_7_17_13 Where did …. seek care during this sickness? - Abroad                                                                    ,q2_7_17_13,q2_7_17_13
 q2_7_17_14 Where did …. seek care during this sickness? - Illegal medical practitioner                                              ,q2_7_17_14,q2_7_17_14
 q2_7_17_15 Where did …. seek care during this sickness? - Other                                                                     ,q2_7_17_15,q2_7_17_15
 q2_7_17_16 Where did …. seek care during this sickness? - Do not remember                                                           ,q2_7_17_16,q2_7_17_16
 q2_7_17_17 Where did …. seek care during this sickness? - Do not know                                                               ,q2_7_17_17,q2_7_17_17
 q2_7_other17 other specify                                                                                                          ,q2_7_other17,q2_7_other17
 q2_7_18_1 Where did …. seek care during this sickness? - No care                                                                    ,q2_7_18_1,q2_7_18_1
 q2_7_18_2 Where did …. seek care during this sickness? - Home-made medicine                                                         ,q2_7_18_2,q2_7_18_2
 q2_7_18_3 Where did …. seek care during this sickness? - Village modern medical practitioner                                        ,q2_7_18_3,q2_7_18_3
 q2_7_18_4 Where did …. seek care during this sickness? - Village health volunteer                                                   ,q2_7_18_4,q2_7_18_4
 q2_7_18_5 Where did …. seek care during this sickness? - Traditional healer                                                         ,q2_7_18_5,q2_7_18_5
 q2_7_18_6 Where did …. seek care during this sickness? - Health centre                                                              ,q2_7_18_6,q2_7_18_6
 q2_7_18_7 Where did …. seek care during this sickness? - District hospital                                                          ,q2_7_18_7,q2_7_18_7
 q2_7_18_8 Where did …. seek care during this sickness? - Provincial hospital/Regional                                               ,q2_7_18_8,q2_7_18_8
 q2_7_18_9 Where did …. seek care during this sickness?                                                                              ,q2_7_18_9,q2_7_18_9
 q2_7_18_10 Where did …. seek care during this sickness? - National hospital                                                         ,q2_7_18_10,q2_7_18_10
 q2_7_18_11 Where did …. seek care during this sickness? - Private pharmacy                                                          ,q2_7_18_11,q2_7_18_11
 q2_7_18_12 Where did …. seek care during this sickness? - Private clinic                                                            ,q2_7_18_12,q2_7_18_12
 q2_7_18_13 Where did …. seek care during this sickness? - Abroad                                                                    ,q2_7_18_13,q2_7_18_13
 q2_7_18_14 Where did …. seek care during this sickness? - Illegal medical practitioner                                              ,q2_7_18_14,q2_7_18_14
 q2_7_18_15 Where did …. seek care during this sickness? - Other                                                                     ,q2_7_18_15,q2_7_18_15
 q2_7_18_16 Where did …. seek care during this sickness? - Do not remember                                                           ,q2_7_18_16,q2_7_18_16
 q2_7_18_17 Where did …. seek care during this sickness? - Do not know                                                               ,q2_7_18_17,q2_7_18_17
 q2_7_other18 other specify                                                                                                          ,q2_7_other18,q2_7_other18
 q2_7_19_1 Where did …. seek care during this sickness? - No care                                                                    ,q2_7_19_1,q2_7_19_1
 q2_7_19_2 Where did …. seek care during this sickness? - Home-made medicine                                                         ,q2_7_19_2,q2_7_19_2
 q2_7_19_3 Where did …. seek care during this sickness? - Village modern medical practitioner                                        ,q2_7_19_3,q2_7_19_3
 q2_7_19_4 Where did …. seek care during this sickness? - Village health volunteer                                                   ,q2_7_19_4,q2_7_19_4
 q2_7_19_5 Where did …. seek care during this sickness? - Traditional healer                                                         ,q2_7_19_5,q2_7_19_5
 q2_7_19_6 Where did …. seek care during this sickness? - Health centre                                                              ,q2_7_19_6,q2_7_19_6
 q2_7_19_7 Where did …. seek care during this sickness? - District hospital                                                          ,q2_7_19_7,q2_7_19_7
 q2_7_19_8 Where did …. seek care during this sickness? - Provincial hospital/Regional                                               ,q2_7_19_8,q2_7_19_8
 q2_7_19_9 Where did …. seek care during this sickness?                                                                              ,q2_7_19_9,q2_7_19_9
 q2_7_19_10 Where did …. seek care during this sickness? - National hospital                                                         ,q2_7_19_10,q2_7_19_10
 q2_7_19_11 Where did …. seek care during this sickness? - Private pharmacy                                                          ,q2_7_19_11,q2_7_19_11
 q2_7_19_12 Where did …. seek care during this sickness? - Private clinic                                                            ,q2_7_19_12,q2_7_19_12
 q2_7_19_13 Where did …. seek care during this sickness? - Abroad                                                                    ,q2_7_19_13,q2_7_19_13
 q2_7_19_14 Where did …. seek care during this sickness? - Illegal medical practitioner                                              ,q2_7_19_14,q2_7_19_14
 q2_7_19_15 Where did …. seek care during this sickness? - Other                                                                     ,q2_7_19_15,q2_7_19_15
 q2_7_19_16 Where did …. seek care during this sickness? - Do not remember                                                           ,q2_7_19_16,q2_7_19_16
 q2_7_19_17 Where did …. seek care during this sickness? - Do not know                                                               ,q2_7_19_17,q2_7_19_17
 q2_7_other19 other specify                                                                                                          ,q2_7_other19,q2_7_other19
 q2_7_20_1 Where did …. seek care during this sickness? - No care                                                                    ,q2_7_20_1,q2_7_20_1
 q2_7_20_2 Where did …. seek care during this sickness? - Home-made medicine                                                         ,q2_7_20_2,q2_7_20_2
 q2_7_20_3 Where did …. seek care during this sickness? - Village modern medical practitioner                                        ,q2_7_20_3,q2_7_20_3
 q2_7_20_4 Where did …. seek care during this sickness? - Village health volunteer                                                   ,q2_7_20_4,q2_7_20_4
 q2_7_20_5 Where did …. seek care during this sickness? - Traditional healer                                                         ,q2_7_20_5,q2_7_20_5
 q2_7_20_6 Where did …. seek care during this sickness? - Health centre                                                              ,q2_7_20_6,q2_7_20_6
 q2_7_20_7 Where did …. seek care during this sickness? - District hospital                                                          ,q2_7_20_7,q2_7_20_7
 q2_7_20_8 Where did …. seek care during this sickness? - Provincial hospital/Regional                                               ,q2_7_20_8,q2_7_20_8
 q2_7_20_9 Where did …. seek care during this sickness?                                                                              ,q2_7_20_9,q2_7_20_9
 q2_7_20_10 Where did …. seek care during this sickness? - National hospital                                                         ,q2_7_20_10,q2_7_20_10
 q2_7_20_11 Where did …. seek care during this sickness? - Private pharmacy                                                          ,q2_7_20_11,q2_7_20_11
 q2_7_20_12 Where did …. seek care during this sickness? - Private clinic                                                            ,q2_7_20_12,q2_7_20_12
 q2_7_20_13 Where did …. seek care during this sickness? - Abroad                                                                    ,q2_7_20_13,q2_7_20_13
 q2_7_20_14 Where did …. seek care during this sickness? - Illegal medical practitioner                                              ,q2_7_20_14,q2_7_20_14
 q2_7_20_15 Where did …. seek care during this sickness? - Other                                                                     ,q2_7_20_15,q2_7_20_15
 q2_7_20_16 Where did …. seek care during this sickness? - Do not remember                                                           ,q2_7_20_16,q2_7_20_16
 q2_7_20_17 Where did …. seek care during this sickness? - Do not know                                                               ,q2_7_20_17,q2_7_20_17
 q2_7_other20 other specify                                                                                                          ,q2_7_other20,q2_7_other20
 q2_7_21_1 Where did …. seek care during this sickness? - No care                                                                    ,q2_7_21_1,q2_7_21_1
 q2_7_21_2 Where did …. seek care during this sickness? - Home-made medicine                                                         ,q2_7_21_2,q2_7_21_2
 q2_7_21_3 Where did …. seek care during this sickness? - Village modern medical practitioner                                        ,q2_7_21_3,q2_7_21_3
 q2_7_21_4 Where did …. seek care during this sickness? - Village health volunteer                                                   ,q2_7_21_4,q2_7_21_4
 q2_7_21_5 Where did …. seek care during this sickness? - Traditional healer                                                         ,q2_7_21_5,q2_7_21_5
 q2_7_21_6 Where did …. seek care during this sickness? - Health centre                                                              ,q2_7_21_6,q2_7_21_6
 q2_7_21_7 Where did …. seek care during this sickness? - District hospital                                                          ,q2_7_21_7,q2_7_21_7
 q2_7_21_8 Where did …. seek care during this sickness? - Provincial hospital/Regional                                               ,q2_7_21_8,q2_7_21_8
 q2_7_21_9 Where did …. seek care during this sickness?                                                                              ,q2_7_21_9,q2_7_21_9
 q2_7_21_10 Where did …. seek care during this sickness? - National hospital                                                         ,q2_7_21_10,q2_7_21_10
 q2_7_21_11 Where did …. seek care during this sickness? - Private pharmacy                                                          ,q2_7_21_11,q2_7_21_11
 q2_7_21_12 Where did …. seek care during this sickness? - Private clinic                                                            ,q2_7_21_12,q2_7_21_12
 q2_7_21_13 Where did …. seek care during this sickness? - Abroad                                                                    ,q2_7_21_13,q2_7_21_13
 q2_7_21_14 Where did …. seek care during this sickness? - Illegal medical practitioner                                              ,q2_7_21_14,q2_7_21_14
 q2_7_21_15 Where did …. seek care during this sickness? - Other                                                                     ,q2_7_21_15,q2_7_21_15
 q2_7_21_16 Where did …. seek care during this sickness? - Do not remember                                                           ,q2_7_21_16,q2_7_21_16
 q2_7_21_17 Where did …. seek care during this sickness? - Do not know                                                               ,q2_7_21_17,q2_7_21_17
 q2_7_other21 other specify                                                                                                          ,q2_7_other21,q2_7_other21
 q2_7_22_1 Where did …. seek care during this sickness? - No care                                                                    ,q2_7_22_1,q2_7_22_1
 q2_7_22_2 Where did …. seek care during this sickness? - Home-made medicine                                                         ,q2_7_22_2,q2_7_22_2
 q2_7_22_3 Where did …. seek care during this sickness? - Village modern medical practitioner                                        ,q2_7_22_3,q2_7_22_3
